Day fraction since midnight on 	pH probe (pH)
0.604724993	8.633444786
0.604736561	8.637719154
0.604748123	8.639353752
0.604759716	8.640787125
0.604771285	8.639352799
0.60478284	8.642551422
0.604794425	8.641517639
0.604805999	8.64480114
0.604817581	8.645236969
0.604829146	8.64382267
0.604840714	8.644182205
0.604852288	8.645530701
0.604863877	8.64354229
0.604875443	8.64593029
0.604887024	8.640852928
0.6048986	8.644080162
0.604910186	8.640625954
0.604921754	8.64021492
0.604933311	8.641456604
0.604944875	8.649094582
0.604956466	8.650083542
0.604968026	8.645137787
0.604979612	8.645106316
0.604991183	8.642311096
0.60500277	8.641479492
0.60501434	8.638987541
0.605025895	8.639469147
0.605037467	8.638105393
0.605049059	8.638114929
0.605060616	8.638251305
0.6050722	8.64354229
0.60508377	8.643436432
0.60509534	8.637377739
0.605106915	8.642557144
0.60511851	8.640481949
0.605130059	8.641771317
0.605141634	8.642680168
0.605153216	8.645033836
0.605164787	8.646067619
0.605176361	8.646949768
0.605187946	8.644213677
0.605199521	8.64380455
0.605211089	8.643177033
0.605222684	8.641242981
0.605234245	8.641661644
0.605245818	8.642442703
0.605257386	8.643902779
0.605268959	8.644865036
0.605280528	8.641616821
0.605292115	8.646377564
0.605303673	8.645051956
0.605315245	8.644798279
0.605326841	8.63832283
0.605338394	8.644205093
0.605349982	8.638667107
0.605361558	8.641221046
0.605373126	8.63231945
0.605384708	8.626581192
0.605396281	8.639925003
0.60540784	8.636116982
0.605419424	8.64738369
0.605431003	8.650811195
0.605442572	8.636122704
0.605454158	8.643265724
0.605465718	8.639863014
0.605477282	8.647763252
0.60548886	8.640363693
0.605500451	8.637804031
0.605512006	8.642613411
0.605523589	8.64583683
0.605535156	8.645608902
0.605546728	8.644113541
0.605558331	8.647508621
0.605569873	8.645395279
0.605581462	8.647624016
0.605593022	8.642384529
0.605604596	8.644790649
0.605616187	8.635989189
0.605627763	8.641487122
0.605639325	8.644533157
0.605650905	8.641511917
0.605662477	8.646015167
0.605674083	8.645708084
0.605685633	8.646363258
0.605697215	8.642510414
0.605708786	8.647399902
0.605720358	8.647208214
0.605731932	8.653273583
0.605743491	8.643881798
0.605755076	8.646144867
0.605766662	8.649120331
0.605778207	8.646921158
0.605789793	8.642522812
0.605801355	8.643368721
0.605812934	8.646497726
0.605824504	8.648756027
0.605836085	8.648728371
0.605847667	8.645886421
0.605859247	8.648436546
0.605870809	8.649429321
0.605882392	8.65177536
0.605893949	8.645784378
0.605905529	8.643850327
0.6059171	8.653290749
0.605928671	8.646605492
0.60594027	8.651855469
0.605951829	8.649380684
0.605963406	8.642599106
0.605974992	8.640145302
0.605986546	8.646209717
0.605998136	8.651234627
0.606009706	8.6491642
0.606021271	8.647795677
0.606032853	8.648665428
0.606044419	8.64444828
0.606055985	8.640440941
0.60606756	8.64618206
0.606079146	8.648490906
pump starts	
0.606090739	8.65290165
0.606102308	8.651075363
0.606113855	8.64656353
0.606125452	8.64757061
0.60613703	8.641489983
0.606148579	8.641498566
0.606160152	8.647429466
0.606171738	8.646080017
0.606183299	8.647240639
0.606194897	8.64009285
0.60620645	8.640830994
0.606218034	8.622882843
0.606229627	8.631381035
0.606241185	8.434352875
0.606252761	8.233703613
0.606264323	8.144820213
0.606275922	8.207576752
0.606287476	8.232539177
0.606299058	8.157217979
0.606310619	8.123728752
0.6063222	8.155535698
0.606333765	8.135403633
0.606345368	8.137373924
0.606356932	8.142106056
0.6063685	8.113585472
0.606380077	8.107338905
0.606391645	8.124190331
0.606403211	8.123641014
0.606414783	8.158389092
0.606426361	8.13284111
0.60643794	8.146315575
0.606449534	8.129528046
0.606461098	8.133628845
0.606472664	8.096587181
0.606484244	8.132927895
0.606495807	8.120615959
0.606507404	8.133286476
0.606518965	8.149331093
0.606530529	8.117756844
0.606542109	8.12643528
0.606553669	8.090801239
0.606565259	8.1329422
0.606576836	8.138525009
0.606588428	8.106230736
0.606599978	8.098023415
0.606611561	8.098210335
0.606623128	8.108715057
0.606634702	8.128330231
0.606646271	8.097421646
0.606657849	8.112709999
0.606669423	8.082113266
0.606680986	8.08059597
0.606692588	8.094744682
0.606704144	8.11141777
0.606715711	8.123075485
0.606727303	8.123452187
0.606738858	8.138075829
0.60675046	8.075728416
0.606762009	8.081429482
0.60677362	8.115297318
0.60678516	8.097112656
0.606796725	8.140622139
0.606808307	8.082290649
0.606819888	8.081820488
0.606831465	8.071185112
0.60684305	8.133979797
0.606854629	8.069951057
0.606866172	8.113379479
0.606877763	8.101138115
0.606889318	8.086720467
0.606900904	8.089351654
0.606912497	8.101317406
0.606924067	8.09321022
0.606935638	8.120041847
0.606947193	8.104609489
0.606958763	8.035161018
0.606970356	7.890271664
0.606981913	7.930262566
0.606993491	7.944488049
0.60700507	7.953717232
0.607016675	7.986208439
0.607028222	7.996919155
0.607039794	7.91282177
0.607051381	7.937822819
0.60706295	7.956638336
0.607074542	7.965613365
0.607086096	7.939124107
0.607097651	7.946566582
0.607109239	7.979162693
0.6071208	7.957871437
0.607132401	7.985633373
0.607143961	7.986500263
0.607155549	8.012742996
0.607167109	7.981559277
0.607178682	8.039505959
0.607190253	7.98282814
0.607201838	7.998567104
0.60721342	8.029111862
0.607224981	7.996039391
