Day fraction since midnight on 	pH probe (pH)
0.632039785	4.578337193
0.632051353	4.57884407
0.632062922	4.57798481
0.632074507	4.578276157
0.632086086	4.578144074
0.63209766	4.577861309
0.632109222	4.577951431
0.632120798	4.577546597
0.632132377	4.57797432
0.632143938	4.577866077
0.632155535	4.577744007
0.632167099	4.577376843
0.632178661	4.578993321
0.632190244	4.590256214
0.632201824	4.578057289
0.632213393	4.576710224
0.632224961	4.59064436
0.632236525	4.542777062
0.63224811	4.473175049
0.632259699	4.668193817
0.632271268	4.733419895
0.63228282	4.824481487
0.632294425	4.919344902
0.63230598	5.032108784
0.632317541	5.09642458
0.632329149	5.130679607
0.632340704	5.150423527
0.632352276	5.177392006
0.632363864	5.184666157
0.632375423	5.184600353
0.632386992	5.195791245
0.63239858	5.192659855
0.63241016	5.222251892
0.632421735	5.288181305
0.632433312	5.201746464
0.632444889	5.225256443
0.632456433	5.216386795
0.63246803	5.207324505
0.632479609	5.221032143
0.632491168	5.230621338
0.632502739	5.226306915
0.632514313	5.26080513
0.63252589	5.28109932
0.632537461	5.299208164
0.632549053	5.33064127
0.632560612	4.114977837
0.632572172	4.348733425
0.632583755	4.734292984
0.632595339	4.902901173
0.632606894	4.987516403
0.632618467	5.04877615
0.632630067	5.110516548
0.632641623	5.173139572
0.632653198	5.199395657
0.632664794	5.233381748
0.632676369	5.252096653
0.632687939	5.262943268
0.632699503	5.26922369
0.632711061	5.278228283
0.632722652	5.285851002
0.632734238	5.186389923
0.632745807	5.200783253
0.632757367	5.196501255
0.632768944	5.171215534
0.632780514	5.254089832
0.632792099	5.26665163
0.632803672	5.231224537
0.632815235	5.15864706
0.632826804	5.36310339
0.632838402	5.28421402
0.63284997	5.20584774
0.632861522	5.199419498
0.632873126	5.221483231
0.632884672	5.268737316
0.632896262	5.218565941
0.632907835	5.283382893
0.632919402	5.234378815
0.632930993	5.303776741
0.632942542	5.325842857
0.632954142	5.379505158
0.632965704	5.373869419
0.632977265	5.512163639
0.632988844	5.536524296
0.633000415	5.581682682
0.633012019	5.602184296
0.633023575	5.684875488
0.633035165	5.721252918
0.63304673	5.848269939
0.633058283	5.829198837
0.633069876	5.867943764
0.633081432	5.866422653
0.633139304	6.129445553
0.633150876	6.117593288
0.63316249	6.209773541
0.633174024	6.259236336
0.633185619	6.268861294
0.633197182	6.257810593
0.63320875	6.285136223
0.633220333	6.293890953
0.633231901	6.543454647
0.633243468	6.395001411
0.633255042	6.407416821
0.633266635	6.496435165
0.633278202	6.507253647
0.633289779	6.548130989
0.633301344	6.584302425
0.633312917	6.64390564
0.633324497	6.662929535
